"final_grade","study_time","class_failures","school_support","family_support","extra_paid_classes","higher_ed","internet_access","absences"
6,1,0,1,0,0,1,0,6
6,1,0,0,1,0,1,1,4
10,1,3,1,0,1,1,1,10
15,2,0,0,1,1,1,1,2
10,1,0,0,1,1,1,0,4
15,1,0,0,1,1,1,1,10
11,1,0,0,0,0,1,1,0
6,1,0,1,1,0,1,0,6
19,1,0,0,1,1,1,1,0
15,1,0,0,1,1,1,1,0
9,1,0,0,1,1,1,1,0
12,2,0,0,1,0,1,1,4
14,3,0,0,1,1,1,1,2
11,1,0,0,1,1,1,1,2
16,2,0,0,1,0,1,1,0
14,3,0,0,1,0,1,1,4
14,2,0,0,1,1,1,1,6
10,1,0,1,1,0,1,0,4
5,3,3,0,1,0,1,1,16
10,3,0,0,0,1,1,1,4
15,1,0,0,0,0,1,1,0
15,3,0,0,1,1,1,1,0
16,1,0,0,0,0,1,1,2
12,1,0,0,1,0,1,1,0
8,2,0,1,1,1,1,1,2
8,3,2,0,1,1,1,1,14
11,3,0,0,1,1,1,1,2
15,3,0,0,0,1,1,1,4
11,1,0,1,1,0,1,1,4
11,1,0,0,1,1,1,1,16
12,1,0,0,1,1,1,1,0
17,1,0,0,1,0,1,1,0
16,1,0,0,1,0,1,1,0
12,1,0,0,0,0,1,1,0
15,3,0,0,1,1,1,1,0
6,3,0,0,1,0,1,0,0
18,2,0,0,1,0,1,1,2
15,2,0,0,1,0,1,1,7
11,2,0,1,1,1,1,1,2
13,3,0,1,1,1,1,0,8
11,1,1,0,1,0,1,1,25
12,3,0,0,1,0,1,1,8
18,1,0,0,1,0,1,1,2
11,3,0,1,1,0,1,1,0
9,1,1,1,0,0,1,1,14
6,1,0,1,1,1,1,1,8
11,1,0,0,1,0,1,1,12
20,4,0,0,0,0,1,1,4
14,1,0,0,1,1,1,0,2
7,1,1,1,1,0,1,1,2
13,1,0,0,1,1,1,1,2
13,1,0,0,1,1,1,1,2
10,3,1,0,0,0,1,0,6
11,3,0,1,1,1,1,1,0
13,3,0,0,0,1,1,1,6
10,1,0,0,0,1,1,1,8
15,1,0,0,1,1,1,1,0
15,1,0,0,1,0,1,0,4
9,1,0,1,1,0,1,1,2
16,1,0,0,1,0,1,1,2
11,1,0,0,1,0,1,0,6
11,3,0,1,1,0,1,1,6
9,1,0,1,0,0,1,1,4
9,2,0,1,1,1,1,1,2
10,1,0,1,0,0,1,1,0
15,1,0,0,1,0,1,1,2
12,4,0,0,1,0,1,1,4
6,4,0,1,1,1,1,1,4
8,1,0,1,1,1,1,1,2
16,4,0,0,1,0,1,1,12
15,4,0,0,1,1,1,1,0
10,4,0,0,0,0,1,1,0
5,1,2,1,1,0,1,1,2
14,3,0,0,0,0,1,0,2
11,1,0,1,1,1,1,1,54
10,1,0,0,1,1,1,1,6
10,4,0,0,0,0,1,1,8
11,4,0,0,0,1,1,1,0
10,3,3,1,1,0,0,1,2
5,1,0,0,1,0,1,1,12
12,3,0,1,1,1,1,1,2
11,2,0,1,0,1,1,1,4
6,1,0,0,1,1,1,1,10
15,1,0,0,0,1,1,1,4
10,1,0,0,1,0,1,1,2
8,1,2,0,0,1,1,1,6
6,1,0,0,1,0,1,0,4
14,2,0,0,1,0,1,1,4
10,1,1,0,0,1,1,1,12
7,1,0,0,1,0,1,0,18
8,2,0,0,1,1,1,1,0
18,3,0,0,0,1,1,1,4
6,1,0,1,1,0,1,0,4
10,1,0,0,1,1,1,1,0
14,4,0,0,1,0,1,1,6
10,4,1,1,1,1,1,1,2
15,3,0,1,1,0,1,1,2
10,1,0,0,1,1,1,0,2
14,3,0,0,0,0,1,1,6
8,2,0,1,1,1,1,1,0
5,3,0,1,1,1,1,1,14
17,2,0,0,1,0,1,1,0
14,3,0,0,1,0,1,1,4
6,1,0,1,1,1,1,1,26
18,1,0,0,1,1,1,1,0
11,4,0,1,0,0,1,0,10
8,4,0,1,1,1,1,1,8
18,2,0,0,1,0,1,1,2
13,4,0,0,1,1,1,1,6
16,2,0,0,1,1,1,1,4
19,3,0,0,0,0,1,1,6
10,2,1,1,1,0,1,1,0
13,1,1,1,0,0,1,1,6
19,3,0,0,0,0,1,1,10
9,1,0,0,0,0,1,1,8
16,1,0,0,1,0,1,1,2
14,1,0,0,1,0,1,0,2
13,3,0,0,0,0,1,1,0
8,1,1,0,1,0,1,1,20
13,3,0,0,0,0,1,1,6
15,1,0,0,0,0,1,1,2
15,4,0,0,1,1,1,1,6
13,1,0,0,1,1,1,1,2
13,3,0,0,1,0,1,1,18
8,1,0,0,0,1,1,1,0
12,3,0,1,0,0,1,1,0
11,1,0,1,0,0,1,1,0
9,1,3,0,1,0,0,0,2
0,3,2,0,1,0,1,1,0
18,3,0,0,0,1,1,1,8
0,2,2,0,1,0,1,1,0
0,3,0,0,1,0,1,1,0
12,3,0,0,1,0,1,1,12
11,3,0,0,0,0,1,1,16
0,1,0,0,1,0,1,0,0
0,2,0,0,1,0,1,1,0
0,1,0,0,0,0,1,0,0
0,3,2,0,1,0,1,1,0
12,1,1,0,0,0,1,0,0
15,3,0,0,0,0,1,1,0
0,4,0,1,1,0,1,1,0
9,3,2,0,1,0,1,1,8
11,2,0,0,1,1,1,1,2
13,3,0,0,0,0,1,1,2
0,3,3,0,1,0,1,1,0
11,1,0,0,1,1,1,1,0
0,1,3,0,1,0,1,1,0
11,1,0,0,1,1,1,1,2
0,3,0,0,1,0,0,1,0
10,3,3,0,0,0,1,1,0
0,3,3,0,0,0,0,1,0
14,3,1,0,0,0,1,0,6
10,2,2,0,1,1,1,1,8
0,3,3,0,1,0,0,1,0
12,3,0,1,1,0,1,0,0
8,1,0,1,0,1,1,0,2
13,3,0,0,0,0,1,0,8
10,3,3,0,1,0,1,0,6
15,3,0,0,0,0,1,0,2
12,1,1,0,1,1,1,1,4
0,3,2,0,0,0,0,1,0
7,1,2,1,1,0,1,1,6
0,3,1,0,0,0,1,0,0
10,3,0,0,0,0,0,1,2
7,1,3,0,0,0,0,0,0
12,3,1,0,1,0,0,0,16
10,1,0,0,0,0,0,1,4
16,1,0,0,0,1,1,1,0
0,1,0,0,1,1,1,1,0
14,1,0,0,1,1,1,1,0
0,3,2,0,1,0,1,1,0
16,1,0,0,1,1,1,1,2
10,1,0,0,1,1,1,1,0
0,1,3,0,0,0,1,1,0
9,1,0,0,1,1,1,1,4
9,1,0,0,0,1,1,1,4
11,1,0,0,0,1,1,1,2
6,1,0,0,0,0,1,1,4
9,3,0,0,1,0,1,1,10
11,1,0,0,1,0,1,1,4
8,1,0,0,1,1,1,1,10
12,1,0,0,0,1,1,1,2
17,1,0,0,1,0,1,0,0
8,1,0,0,1,0,1,1,56
12,1,0,0,1,1,1,1,14
11,1,0,0,1,0,1,1,12
11,3,0,0,1,1,1,1,2
15,1,0,0,0,1,1,1,0
9,1,0,0,1,0,1,1,6
10,1,0,0,0,0,1,0,4
13,1,0,0,0,0,1,1,10
9,1,0,0,0,0,1,1,0
8,1,0,0,0,1,1,1,12
10,3,0,0,1,0,1,1,8
14,3,0,0,0,0,1,1,0
15,1,0,0,0,0,1,1,0
16,3,0,0,0,0,1,1,4
10,3,0,0,1,1,1,1,8
18,3,1,0,1,0,1,1,24
10,1,0,0,1,1,1,1,0
16,1,0,0,1,0,1,1,2
10,1,0,1,1,1,1,0,6
10,1,0,0,1,1,1,0,4
6,3,0,0,1,0,1,1,18
11,4,0,0,1,1,1,1,6
9,2,1,0,1,1,1,1,28
7,1,3,0,1,1,1,1,5
13,1,0,0,0,1,1,1,10
10,3,0,0,1,1,1,0,6
7,2,0,0,1,1,1,1,6
8,4,0,0,1,1,1,1,10
13,1,0,0,1,1,1,1,13
14,1,0,1,1,1,1,1,0
8,1,1,0,1,1,1,1,15
10,3,0,0,1,1,1,0,12
15,1,0,0,0,1,1,1,2
4,1,2,0,0,1,1,1,22
8,1,1,0,1,1,1,1,13
8,3,0,0,1,1,1,0,3
10,2,0,0,1,1,1,1,4
6,1,0,0,1,0,1,1,2
0,2,1,0,1,0,1,0,0
17,1,0,1,0,0,1,1,2
13,1,0,0,1,1,1,1,0
14,2,0,0,1,0,1,1,0
7,1,1,0,0,0,1,1,16
15,1,0,0,0,0,1,1,10
12,1,0,0,1,1,1,1,2
9,1,0,1,1,1,1,1,14
12,2,0,0,0,0,1,1,10
14,1,0,0,0,0,1,1,14
11,1,0,0,1,1,1,1,4
9,1,0,1,1,0,1,1,14
13,1,0,0,1,1,1,1,2
6,1,0,0,1,1,1,1,18
10,2,0,0,0,0,1,1,10
13,1,0,0,0,1,1,1,4
12,3,0,0,0,0,1,1,20
11,1,0,0,0,0,1,0,2
0,1,1,0,0,0,0,1,0
12,1,0,0,0,0,1,1,14
12,1,0,0,1,1,1,1,2
0,3,0,0,0,0,1,1,0
12,3,0,0,0,0,1,1,0
0,2,0,0,1,1,1,1,0
18,3,0,0,0,0,1,1,6
13,3,0,0,0,0,1,1,4
8,3,3,0,0,0,0,1,16
5,1,1,0,1,0,1,1,8
15,3,0,0,0,1,1,1,0
8,3,1,0,0,0,0,1,0
10,1,0,1,1,0,1,1,6
8,3,1,0,0,0,0,1,4
8,3,0,0,0,0,1,0,0
12,3,0,0,0,0,1,1,0
8,3,1,0,1,0,1,1,2
13,4,0,0,1,1,1,1,6
11,1,0,0,1,0,1,1,12
14,1,0,0,0,0,1,1,8
0,4,0,0,0,1,1,1,0
18,1,0,0,1,1,1,1,21
8,1,0,0,1,1,1,1,2
12,2,0,0,0,0,1,0,1
9,2,0,0,0,0,1,0,4
0,2,0,0,1,1,1,1,0
17,1,0,0,1,1,1,1,13
10,1,0,0,0,1,1,1,2
11,1,0,0,0,1,1,1,8
10,1,0,0,1,1,1,1,10
0,1,0,0,1,0,0,1,0
9,1,2,0,1,1,1,1,15
14,4,0,0,1,1,1,1,4
11,1,0,0,1,1,1,0,2
14,1,0,0,1,1,1,0,2
10,1,0,0,1,1,1,1,2
12,1,0,1,1,1,1,1,6
9,1,0,0,0,0,0,1,75
9,3,0,0,0,1,1,1,22
8,1,1,1,1,0,1,1,15
10,3,0,0,0,1,1,1,8
8,3,0,0,0,1,1,1,30
10,3,1,0,0,0,1,1,19
12,4,0,0,1,1,1,0,1
10,1,0,1,0,0,1,1,4
11,1,0,0,1,0,1,1,4
11,1,0,0,0,1,1,1,2
19,2,0,0,1,1,1,1,5
12,2,0,0,1,1,1,1,6
14,2,0,0,0,1,1,1,6
15,1,0,0,1,1,1,1,9
11,1,0,0,1,1,1,1,11
15,2,0,0,1,1,1,1,0
13,1,1,0,0,0,1,1,12
18,4,0,0,1,1,1,0,6
14,2,0,0,1,1,1,1,8
11,3,0,0,1,1,1,1,4
0,1,0,0,1,1,1,1,0
8,1,0,0,1,1,1,1,10
14,4,0,0,1,1,1,1,0
16,3,0,0,1,1,1,1,5
11,1,0,0,1,0,1,1,14
10,3,0,0,0,1,1,1,0
14,2,0,0,1,1,1,1,0
18,4,0,0,1,1,1,1,0
13,1,1,0,1,0,1,1,20
12,1,1,0,1,1,1,1,8
18,3,0,0,0,0,1,0,0
8,3,1,0,1,1,1,1,38
12,1,1,0,0,0,1,0,0
10,1,1,1,1,0,1,1,18
0,1,1,0,0,0,1,0,0
13,1,0,0,1,0,0,1,20
11,1,1,0,0,0,1,1,3
11,1,1,0,1,1,1,1,22
13,2,2,0,0,0,1,1,14
11,2,1,0,0,0,1,1,40
0,1,0,0,1,1,1,1,0
9,2,0,0,1,1,1,1,9
10,2,0,0,1,1,1,1,0
11,1,0,0,1,1,1,1,2
13,1,0,0,1,1,1,1,23
9,1,0,0,1,0,1,0,12
