school_name,region,starting_median,mid_career,mid_career_10,mid_career_25,mid_career_75,mid_career_90
Stanford University ,California ,70400,129000,68400 ,93100 ,184000 ,257000 
California Institute of Technology (CIT) ,California ,75500 ,123000 , ,104000 ,161000 , 
Harvey Mudd College ,California ,71800 ,122000 , ,96000 ,180000 , 
"University of California, Berkeley ",California ,59900 ,112000 ,59500 ,81000 ,149000 ,201000 
Occidental College ,California ,51900 ,105000 , ,54800 ,157000 , 
Cal Poly San Luis Obispo ,California ,57200 ,101000 ,55000 ,74700 ,133000 ,178000 
University of California at Los Angeles (UCLA) ,California ,52600 ,101000 ,51300 ,72500 ,139000 ,193000 
"University of California, San Diego (UCSD) ",California ,51100 ,101000 ,51700 ,75400 ,131000 ,177000 
Pomona College ,California ,48600 ,101000 , ,63300 ,161000 , 
University of Southern California (USC) ,California ,54800 ,99600 ,49700 ,73800 ,140000 ,201000 
"University of California, Davis ",California ,52300 ,99600 ,52000 ,71600 ,135000 ,202000 
"University of California, Irvine (UCI) ",California ,48300 ,96700 ,47800 ,66000 ,123000 ,172000 
San Jose State University (SJSU) ,California ,53500 ,95600 ,50700 ,70500 ,122000 ,156000 
"University of California, Santa Barbara (UCSB) ",California ,50500 ,95000 ,51300 ,71200 ,129000 ,173000 
"California State University (CSU), Chico ",California ,47400 ,88100 ,46800 ,62800 ,122000 ,154000 
"California State University, Fullerton (CSUF) ",California ,45700 ,87000 ,45400 ,62500 ,119000 ,158000 
San Francisco State University (SFSU) ,California ,47300 ,86400 ,45100 ,62700 ,114000 ,150000 
San Diego State University (SDSU) ,California ,46200 ,85200 ,45500 ,61800 ,116000 ,158000 
"California State University, Long Beach (CSULB) ",California ,45100 ,84700 ,47400 ,62500 ,113000 ,154000 
"California State University, East Bay (CSUEB) ",California ,49200 ,84300 ,46000 ,62400 ,115000 ,155000 
"University of California, Santa Cruz (UCSC) ",California ,44700 ,84100 ,46100 ,62000 ,121000 ,165000 
"California State University, Sacramento (CSUS) ",California ,47800 ,82400 ,42900 ,59600 ,111000 ,154000 
"University of California, Riverside (UCR) ",California ,46800 ,81300 ,37200 ,59900 ,109000 ,134000 
"California State University, Northridge (CSUN) ",California ,45500 ,80400 ,44500 ,57800 ,108000 ,153000 
"California State University, Dominguez Hills (CSUDH) ",California ,42700 ,72100 ,30800 ,47000 ,92200 ,132000 
"California State University (CSU), Stanislaus ",California ,38000 ,71400 , ,50500 ,94100 , 
Humboldt State University ,California ,42600 ,71300 ,36000 ,56300 ,94400 ,117000 
Thomas Aquinas College ,California ,41500 ,67500 , ,44600 ,93100 , 
Colorado School of Mines ,Western ,58100 ,106000 ,62200 ,87900 ,142000 ,201000 
University of Colorado - Boulder (UCB) ,Western ,47100 ,97600 ,51600 ,69000 ,128000 ,187000 
New Mexico Institute of Mining and Technology (New Mexico Tech) ,Western ,51000 ,93400 , ,67400 ,123000 , 
Brigham Young University (BYU) ,Western ,49400 ,88600 ,50600 ,68500 ,119000 ,164000 
University of Arizona ,Western ,47500 ,86100 ,44800 ,61700 ,117000 ,160000 
